Address,member,income_pension,income_rent,income_interest,income_aid,income_resale,income_transfer,Fasl,year
10006006326,1,0,0,3000000,32300000,0,0,1,1401
10006006327,1,0,0,5300000,0,0,0,1,1401
10006006333,1,0,0,6000000,60500000,0,0,1,1401
10006006336,1,579000000,0,21200000,60500000,0,0,1,1401
10006006338,1,508000000,0,3000000,32300000,0,0,1,1401
10006006341,1,0,0,3000000,32300000,0,0,1,1401
10006006341,2,0,0,680000,0,0,0,1,1401
10006006826,1,440000000,0,1500000,22360000,0,0,1,1401
10006006832,1,800000000,0,15900000,26560000,0,0,1,1401
10006006832,3,0,0,0,30000000,0,0,1,1401
10006006836,1,500000000,0,18000000,30640000,0,0,1,1401
10006006838,1,860000000,0,9600000,0,0,0,1,1401
10006006841,1,1460000000,0,10600000,22360000,0,0,1,1401
10007007226,1,396000000,0,0,9500000,0,0,1,1401
10007007230,1,520000000,0,4000000,24000000,0,0,1,1401
10007007230,2,0,0,4000000,0,0,0,1,1401
10007007230,3,0,0,4000000,0,0,0,1,1401
10007007231,1,600000000,0,0,16000000,0,0,1,1401
10007007232,1,860000000,0,15000000,26560000,0,0,1,1401
10007007238,1,365000000,0,4700000,9600000,0,0,1,1401
10007007241,1,0,0,0,26000000,0,0,1,1401
10007007241,2,548000000,0,5300000,0,0,0,1,1401
10007007725,1,0,0,5000000,41000000,0,0,1,1401
10007007725,2,0,0,5000000,0,0,0,1,1401
10007007728,1,857000000,0,4700000,34500000,0,0,1,1401
10007007728,2,0,0,4800000,0,0,0,1,1401
10007007728,3,0,0,4800000,0,0,0,1,1401
10007007728,4,0,0,4800000,0,0,0,1,1401
10007007732,1,0,0,0,49000000,0,0,1,1401
10007007735,1,0,0,5700000,50000000,0,0,1,1401
10007007735,2,0,0,5700000,0,0,0,1,1401
10007007735,3,0,0,5700000,0,0,0,1,1401
10007007738,1,495000000,0,0,22000000,0,0,1,1401
10007007741,1,100800000,0,0,26000000,0,0,1,1401
10009008128,1,1020000000,0,23000000,10000000,0,0,1,1401
10009008128,2,0,0,5000000,0,0,0,1,1401
10009008129,1,1104000000,0,27000000,10000000,0,0,1,1401
10009008129,2,0,0,5000000,0,0,0,1,1401
10009008129,3,0,0,5000000,0,0,0,1,1401
10009008131,1,0,0,0,26560000,0,0,1,1401
10009008135,1,70000000,0,15000000,0,0,0,1,1401
10009008138,1,0,0,10600000,10000000,0,0,1,1401
10009008141,1,470000000,200000000,10700000,18360000,0,0,1,1401
10009008526,1,744000000,60000000,4000000,24000000,0,0,1,1401
10009008526,2,0,0,4000000,0,0,0,1,1401
10009008526,3,0,0,4000000,0,0,0,1,1401
10009008527,1,264000000,0,4500000,0,0,0,1,1401
10009008527,2,0,0,4500000,0,0,0,1,1401
10009008532,1,0,0,0,22600000,0,300000000,1,1401
10009008534,1,500000000,0,0,13460000,0,0,1,1401
10009008538,1,0,0,67200000,41800000,0,0,1,1401
10009008538,2,0,0,0,0,50000000,0,1,1401
10009008541,1,0,0,6000000,51200000,0,0,1,1401
10010008929,1,0,0,0,31800000,0,0,1,1401
10010008930,1,0,0,5000000,37500000,0,0,1,1401
10010008930,2,0,0,5000000,0,0,0,1,1401
10010008930,3,0,0,5000000,0,0,0,1,1401
10010008935,1,0,0,0,32000000,0,0,1,1401
10010008936,1,0,400000000,0,55200000,0,0,1,1401
